Make,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,age
اوبل,62000,فيراني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,55000.0,نقدا فقط,للبيع فقط,1.0,1,0,1,1,0,1,0,1,4.0,4
هونداي,113000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,47000.0,نقدا فقط,للبيع فقط,1.0,1,1,0,1,1,1,1,1,,9
فولكسفاجن,55000,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,83000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,1,0,1,4.0,7
فولكسفاجن,20000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,نقدا فقط,للبيع أو التبديل,3.0,1,1,1,1,0,1,0,1,4.0,26
سوبارو,5000,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,20000.0,نقدا فقط,للبيع فقط,,0,0,0,1,0,0,0,0,4.0,40
فولكسفاجن,25000,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,0.0,نقدا فقط,للبيع أو التبديل,3.0,0,1,1,1,0,1,0,1,4.0,26
سكودا,97000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,0.0,1,1,1,1,0,1,0,1,4.0,5
كيا,35000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,0,0,0,0,0,0,0,0,4.0,9
سيت,69000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,88000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,0,1,4.0,6
هونداي,41000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,135.0,نقدا فقط,للبيع أو التبديل,3.0,1,1,1,1,0,1,1,1,4.0,16
ايسوزو,65000,سكني,ديزل,حكومي,فلسطينية,عادي,الكتروني,3000,190000.0,نقدا فقط,للبيع فقط,2.0,1,0,0,1,0,1,0,1,4.0,18
ستروين,35000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,370000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,0,1,0,4.0,15
فورد,35000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,,نقدا فقط,للبيع فقط,2.0,1,1,0,1,0,0,1,0,7.0,32
اوبل,39000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,0.0,نقدا فقط,للبيع فقط,0.0,1,1,1,1,0,1,1,1,4.0,15
هونداي,45000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,,إمكانية التقسيط,للبيع أو التبديل,,1,1,0,0,1,1,1,1,6.0,16
فولكسفاجن,30000,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,280000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,23
كيا,35000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,0,0,1,4.0,14
رينو,10000,أزرق سماوي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,,إمكانية التقسيط,للبيع أو التبديل,4.0,1,1,1,1,0,1,0,1,3.0,13
مازدا,89000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,60000.0,نقدا فقط,للبيع أو التبديل,,1,1,0,1,0,1,0,1,4.0,8
اوبل,55000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,45.0,إمكانية التقسيط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,4.0,8
فيات,6000,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,999,4000.0,نقدا فقط,للبيع فقط,5.0,0,0,0,0,0,0,0,0,4.0,39
فولكسفاجن,40000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,إمكانية التقسيط,للبيع فقط,,0,0,0,1,0,0,1,0,7.0,22
هونداي,90000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,7
اوبل,32000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,298000.0,نقدا فقط,للبيع فقط,3.0,1,1,0,0,0,0,0,1,4.0,25
بيجو,72000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,82.0,إمكانية التقسيط,للبيع أو التبديل,0.0,1,1,1,0,0,0,0,1,4.0,5
كيا,75500,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,81000.0,نقدا فقط,للبيع أو التبديل,,1,1,1,1,1,1,1,1,4.0,9
كيا,107000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,60000.0,نقدا فقط,للبيع أو التبديل,,1,1,1,1,0,1,1,1,,8
سوبارو,9500,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,0.0,نقدا فقط,للبيع فقط,3.0,0,0,0,0,0,0,0,0,4.0,41
سكودا,90000,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,0.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,0,1,0,1,4.0,8
اوبل,58000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,40.0,نقدا فقط,للبيع أو التبديل,0.0,1,1,1,1,0,1,0,0,4.0,6
سكودا,60000,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,46500.0,إمكانية التقسيط,للبيع فقط,5.0,1,1,1,1,0,1,1,1,4.0,15
فيات,20000,أزرق سماوي,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,1250,0.0,نقدا فقط,للبيع فقط,,0,0,0,1,0,1,0,1,4.0,20
سكودا,75000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,0.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,0,1,4.0,9
كيا,85000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,1.0,1,1,1,1,1,1,1,1,4.0,8
فورد,45000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,73000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,0,0,1,0,1,4.0,7
سكودا,163500,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,42000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,0,0,1,0,1,4.0,2
فولكسفاجن,62500,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,125000.0,نقدا فقط,للبيع فقط,,1,1,1,1,0,0,0,1,6.0,11
هونداي,32000,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,115000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,0,1,4.0,21
فولكسفاجن,49000,أصفر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,418000.0,إمكانية التقسيط,للبيع فقط,2.0,1,1,1,1,1,0,0,1,,15
فورد,32000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,165.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,0,1,0,1,4.0,14
هونداي,83000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,92000.0,نقدا فقط,للبيع أو التبديل,3.0,1,1,1,1,0,1,1,1,4.0,8
هونداي,39000,خمري,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1250,80000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,9
كيا,43500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000.0,نقدا فقط,للبيع فقط,2.0,1,1,1,1,1,1,0,1,,13
سكودا,43000,ذهبي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,400.0,نقدا فقط,للبيع فقط,3.0,1,1,1,1,0,1,0,1,4.0,18
هونداي,65000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,إمكانية التقسيط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,8
فولكسفاجن,90000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,7.0,12
هونداي,58000,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,75000.0,نقدا فقط,للبيع فقط,,1,0,0,0,0,0,0,0,,10
فورد,42000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,92000.0,نقدا فقط,للبيع فقط,2.0,1,1,0,1,0,1,0,0,4.0,9
سكودا,60000,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,90000.0,نقدا فقط,للبيع فقط,1.0,1,1,1,1,0,1,1,1,4.0,8
بي,25000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000.0,إمكانية التقسيط,للبيع فقط,5.0,1,1,1,1,1,1,1,1,4.0,29
ايسوزو,49000,فيراني,ديزل,خصوصي,فلسطينية,عادي,يدوي,3100,363000.0,نقدا فقط,للبيع أو التبديل,2.0,0,0,0,0,0,0,0,0,4.0,25
فولكسفاجن,98000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000.0,نقدا فقط,للبيع فقط,,1,1,1,1,0,1,1,1,6.0,9
هونداي,79000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,35000.0,نقدا فقط,للبيع أو التبديل,1.0,1,1,1,1,0,1,1,1,,5
فولكسفاجن,89000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,1,0,1,4.0,9
اوبل,70000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,0,1,0,1,6.0,10
اوبل,17000,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,77.0,نقدا فقط,للبيع أو التبديل,3.0,0,0,0,0,0,0,0,0,4.0,28
سيت,75000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,,نقدا فقط,للبيع فقط,2.0,1,1,1,1,0,1,1,1,4.0,6
كيا,44000,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,68000.0,نقدا فقط,للبيع أو التبديل,2.0,1,1,1,1,1,1,1,1,4.0,9
سيت,117000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,45000.0,نقدا فقط,للبيع فقط,,1,1,0,0,1,1,1,1,4.0,5
هونداي,56000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,10110.0,نقدا فقط,للبيع فقط,4.0,1,1,1,1,0,1,1,1,4.0,9
هونداي,24000,أحمر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1000,0.0,إمكانية التقسيط,للبيع فقط,3.0,1,1,1,1,0,0,0,1,4.0,23
