Make,Year,Price,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Additions,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,Drive Type
كيا اوبتيما,2015,85000,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
اوبل استرا,1997,25000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,75000,إمكانية التقسيط,للبيع فقط,يد 4,"مسجل CD
جنطات مغنيسيوم",0,0,0,1,0,1,0,0,4+1,
سوبارو نملة,1984,10000,أبيض عاجي,بنزين,تأجير,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,11,,0,0,0,0,0,0,0,0,4+1,
سكودا فابيا,2009,36500,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,"جهاز إنذار
مسجل CD
فرش جلد",0,0,1,1,0,0,1,0,4+1,
فولكسفاجن بولو,2016,63000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,57,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
بيجو بارتنر,2008,47000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1690,00000,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
هونداي توسان,2006,48000,ذهبي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,1,1,1,1,1,4+1,
هونداي توسان,2014,90000,فيراني,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,30000,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
سكودا اوكتافيا,2014,98000,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,25000,نقدا فقط,للبيع فقط,2,"مُكيّف
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم",1,0,1,1,1,1,0,0,4+1,
هونداي اكسنت,2013,50000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,إمكانية التقسيط,للبيع أو التبديل,ثانية,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,0,0,0,1,1,1,4+1,
هونداي توسان,2014,95000,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,180000,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,,
سكودا سوبيرب,2015,115000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
كيا برايد,2015,60000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٧٨٠٠٠,إمكانية التقسيط,للبيع أو التبديل,يد ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
شفروليه اوبترا,2008,27000,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
فولكسفاجن كرافيل,2003,24000,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,120000,إمكانية التقسيط,للبيع أو التبديل,يد 2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,8+1,دفع أمامي
بيجو 2008,2008,35000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120000,نقدا فقط,للبيع أو التبديل,يد تانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد",1,1,1,1,0,0,1,0,4+1,
هونداي توسان,2017,86000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70 km,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
سوبارو عريض,1986,19000,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع فقط,,"مُكيّف
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,0,0,1,0,1,1,1,4+1,
سيت ليون,2017,68000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,7000,إمكانية التقسيط,للبيع فقط,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
سيت قرطبة,2008,42000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1,1,0,1,0,0,0,1,,
فورد فوكس,2009,39000,أزرق,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,4+1,
سيت ابيزا,2010,45000,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,0,1,0,1,4+1,دفع أمامي
هونداي اكسنت,2014,56000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,58,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,,دفع أمامي
فولكسفاجن كادي,2011,58000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,١٢٧٠٠٠,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,0,1,1,4+1,
فولكسفاجن جولف,2011,95000,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,4+1,
سكودا اوكتافيا,2014,100000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,30000,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,1,1,1,1,4+1,
اوبل كورسا,2017,60000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70000,إمكانية التقسيط,للبيع فقط,٢,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,1,1,0,1,4+1,دفع أمامي
فولفو 2007,2007,230000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2800,١٥٠٠٠,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,"مُكيّف
جهاز إنذار
مسجل CD",1,0,1,1,0,0,0,0,1+2,
كيا ريو,2016,68000,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,4700,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع أمامي
اوبل كورسا,2013,50000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,
سكودا اوكتافيا,2016,110000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000,إمكانية التقسيط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,4+1,
ستروين  C4,2013,62000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,84000,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,0,1,0,1,0,1,4+1,
هونداي فيرنا,2008,38000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,18000,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,,
جييب  سوناتا,2005,60000,فضي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد",1,1,1,1,0,0,1,0,6+1,
ستروين C-Elysee,2015,75000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية",1,1,0,1,0,0,1,1,4+1,
هونداي اكسنت,2016,63000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80.000,نقدا فقط,للبيع فقط,يد٢,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,4+1,دفع أمامي
فولكسفاجن كادي,2011,68000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,297000,إمكانية التقسيط,للبيع فقط,٣,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,,دفع أمامي
فولكسفاجن GTI,2016,120000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,٧٠٠٠٠,نقدا فقط,للبيع فقط,ايد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
اودي A4,2010,83000,زيتي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,80000 Km,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية",1,1,1,1,1,1,0,1,4+1,
هونداي توسان,2015,109999,بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,65000,نقدا فقط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,دفع رباعي 4x4
بيجو 307,2007,37000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد",1,0,0,1,1,1,1,0,4+1,
تويوتا لاند كروزر,2014,350000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,إمكانية التقسيط,للبيع فقط,يد 0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
هونداي اكسنت,2005,24000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,280000,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي",1,1,0,0,0,0,0,0,4+1,
هونداي توسان,2015,115000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,115000,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
إغلاق مركزي
جهاز إنذار
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,0,1,1,1,1,4+1,دفع أمامي
سكودا كودياك,2018,170000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,124,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,6+1,دفع رباعي 4x4
فولكسفاجن كادي,2015,100000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,0,"مُكيّف
مسجل CD",1,0,0,1,0,0,0,0,6+1,
هونداي توسان,2007,45000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
كيا سورينتو,2007,45000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,0000,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,6+1,
هونداي اكسنت,2014,65000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65 الف,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
كيا سول,2014,68000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000,نقدا فقط,للبيع فقط,يد ثالثه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
بيجو بارتنر,2014,80000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,160000,إمكانية التقسيط,للبيع أو التبديل,1,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,0,1,1,1,6+1,
فولكسفاجن كرافتر,2012,10000,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,75000,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,5+1,دفع خلفي
فولكسفاجن بولو,2014,60000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
وسادة حماية هوائية",1,1,0,0,0,0,0,1,4+1,
سكودا رابيد,2013,58000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,000,نقدا فقط,للبيع فقط,---,"مُكيّف
جهاز إنذار",1,0,1,0,0,0,0,0,4+1,دفع أمامي
فولكسفاجن باسات,2000,20000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,200000,نقدا فقط,للبيع فقط,3,"مسجل CD
جنطات مغنيسيوم",0,0,0,1,0,1,0,0,4+1,دفع أمامي
فولكسفاجن بولو,2007,40000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع أو التبديل,يد اولى,,0,0,0,0,0,0,0,0,4+1,
اوبل استرا,2005,42000,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,95000,نقدا فقط,للبيع أو التبديل,03,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1,1,1,1,0,0,0,1,4+1,
فولكسفاجن جولف,2002,37000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200000,إمكانية التقسيط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم",1,1,1,1,0,1,0,0,4+1,دفع أمامي
كيا سول,2015,65000,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,57000 فقط,نقدا فقط,للبيع أو التبديل,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
فرش جلد
وسادة حماية هوائية",1,1,1,0,0,0,1,1,4+1,
كيا فورتي,2011,44999,رمادي,بنزين,تأجير,فلسطينية,نصف اوتوماتيك,الكتروني,1600,١٤٠,نقدا فقط,للبيع أو التبديل,٢,"مُكيّف
إغلاق مركزي
جنطات مغنيسيوم",1,1,0,0,0,1,0,0,4+1,
فولكسفاجن بولو,1999,25000,أحمر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1,1,1,1,1,1,1,1,4+1,
