Make,Color,Fuel Type,Car Origin,Car License,Transmission Type,Glass,Engine Power,Mileage,Payment Method,Available,Previous Owners,Air Conditioner,Central Locking,Alarm System,CD Player,Sunroof,Alloy Wheels,Leather Seats,Airbag,Passenger Count,age,Price
شفروليه,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,123850.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,0,0,1,4,15.0,27000
فولكسفاجن,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,120000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,8,20.0,24000
بيجو,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,0,1,0,4,15.0,35000
هونداي,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,90200.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,4,6.0,86000
سوبارو,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,106424.8,إمكانية التقسيط,للبيع فقط,6,1,0,0,1,0,1,1,1,4,37.0,19000
سيت,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,7000.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,6.0,68000
فورد,أزرق,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2000,70501.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,0,1,4,14.0,39000
سيت,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,101070.8,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,13.0,45000
هونداي,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,58.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,9.0,56000
فولكسفاجن,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,127000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,0,0,1,1,4,12.0,58000
فولكسفاجن,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,98656.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,1,1,1,1,0,1,4,12.0,95000
سكودا,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,30000.0,نقدا فقط,للبيع فقط,1,1,1,1,0,1,1,1,1,4,9.0,100000
اوبل,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70000.0,إمكانية التقسيط,للبيع فقط,2,1,1,0,1,1,1,0,1,4,6.0,60000
فولفو,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2800,15000.0,إمكانية التقسيط,للبيع أو التبديل,2,1,0,1,1,0,0,0,0,1,16.0,230000
كيا,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,4700.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,7.0,68000
اوبل,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,169341.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,10.0,50000
سكودا,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,60000.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,1,1,1,0,1,4,7.0,110000
ستروين,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,84000.0,نقدا فقط,للبيع أو التبديل,1,1,1,0,1,0,1,0,1,4,10.0,62000
هونداي,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,18000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,4,15.0,38000
جييب,فضي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,108060.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,0,1,0,6,18.0,60000
ستروين,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,45000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,0,1,0,0,1,1,4,8.0,75000
هونداي,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,70410.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,4,7.0,63000
فولكسفاجن,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,297000.0,إمكانية التقسيط,للبيع فقط,3,1,1,1,1,0,1,1,1,4,12.0,68000
فولكسفاجن,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,70000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,7.0,120000
اودي,زيتي,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1800,101070.8,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,1,1,0,1,4,13.0,83000
هونداي,بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,65000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,4,8.0,109999
بيجو,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,155418.0,إمكانية التقسيط,للبيع أو التبديل,2,1,0,0,1,1,1,1,0,4,16.0,37000
تويوتا,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,102600.0,إمكانية التقسيط,للبيع فقط,0,1,1,1,1,1,1,1,1,6,9.0,350000
هونداي,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,280000.0,نقدا فقط,للبيع أو التبديل,2,1,1,0,0,0,0,0,0,4,18.0,24000
هونداي,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,115000.0,نقدا فقط,للبيع فقط,2,1,1,1,0,1,1,1,1,4,8.0,115000
سكودا,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,124.0,نقدا فقط,للبيع فقط,0,1,1,1,1,0,1,1,1,6,5.0,170000
فولكسفاجن,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,72412.0,نقدا فقط,للبيع فقط,0,1,0,0,1,0,0,0,0,6,8.0,100000
هونداي,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,1,1,4,16.0,45000
كيا,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,155418.0,نقدا فقط,للبيع فقط,5,1,1,1,1,1,1,1,1,6,16.0,45000
هونداي,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,65000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,9.0,65000
كيا,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000.0,نقدا فقط,للبيع فقط,3,1,1,1,1,1,1,1,1,4,9.0,68000
بيجو,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,160000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,6,9.0,80000
فولكسفاجن,أبيض عاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,75000.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,0,0,1,5,11.0,10000
فولكسفاجن,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000.0,نقدا فقط,للبيع أو التبديل,1,1,1,0,0,0,0,0,1,4,9.0,60000
سكودا,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,169341.0,نقدا فقط,للبيع فقط,1,1,0,1,0,0,0,0,0,4,10.0,58000
فولكسفاجن,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,200000.0,نقدا فقط,للبيع فقط,3,0,0,0,1,0,1,0,0,4,23.0,20000
فولكسفاجن,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,155418.0,نقدا فقط,للبيع أو التبديل,1,0,0,0,0,0,0,0,0,4,16.0,40000
اوبل,أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,95000.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,0,0,0,1,4,18.0,42000
فولكسفاجن,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200000.0,إمكانية التقسيط,للبيع فقط,3,1,1,1,1,0,1,0,0,4,21.0,37000
كيا,بيج,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,72412.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,0,0,0,1,1,4,8.0,65000
كيا,رمادي,بنزين,تأجير,فلسطينية,نصف اوتوماتيك,الكتروني,1600,140.0,نقدا فقط,للبيع أو التبديل,2,1,1,0,0,0,1,0,0,4,12.0,44999
فولكسفاجن,أحمر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,41238.2,إمكانية التقسيط,للبيع أو التبديل,3,1,1,1,1,1,1,1,1,4,24.0,25000
اوبل,فيراني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,55000.0,نقدا فقط,للبيع فقط,1,1,0,1,1,0,1,0,1,4,4.0,62000
هونداي,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,47000.0,نقدا فقط,للبيع فقط,1,1,1,0,1,1,1,1,1,4,9.0,113000
فولكسفاجن,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,83000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,4,7.0,55000
فولكسفاجن,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,80862.2,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,0,1,0,1,4,26.0,20000
سوبارو,أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,20000.0,نقدا فقط,للبيع فقط,6,0,0,0,1,0,0,0,0,4,40.0,5000
فولكسفاجن,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,80862.2,نقدا فقط,للبيع أو التبديل,3,0,1,1,1,0,1,0,1,4,26.0,25000
سكودا,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,33500.0,نقدا فقط,للبيع فقط,0,1,1,1,1,0,1,0,1,4,5.0,97000
كيا,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1400,102600.0,نقدا فقط,للبيع فقط,2,0,0,0,0,0,0,0,0,4,9.0,35000
سيت,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,88000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,6.0,69000
هونداي,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,135.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,4,16.0,41000
ايسوزو,سكني,ديزل,حكومي,فلسطينية,عادي,الكتروني,3000,190000.0,نقدا فقط,للبيع فقط,2,1,0,0,1,0,1,0,1,4,18.0,65000
ستروين,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,123850.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,0,1,0,4,15.0,35000
فورد,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,99491.2,نقدا فقط,للبيع فقط,2,1,1,0,1,0,0,1,0,7,32.0,35000
اوبل,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,123850.0,نقدا فقط,للبيع فقط,0,1,1,1,1,0,1,1,1,4,15.0,39000
هونداي,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,155418.0,إمكانية التقسيط,للبيع أو التبديل,2,1,1,0,0,1,1,1,1,6,16.0,45000
فولكسفاجن,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,280000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,23.0,30000
كيا,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,80000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,0,0,1,4,14.0,35000
رينو,أزرق سماوي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,101070.8,إمكانية التقسيط,للبيع أو التبديل,4,1,1,1,1,0,1,0,1,3,13.0,10000
مازدا,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,60000.0,نقدا فقط,للبيع أو التبديل,1,1,1,0,1,0,1,0,1,4,8.0,89000
اوبل,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,45.0,إمكانية التقسيط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,4,8.0,55000
فيات,أسود,بنزين,خصوصي,فلسطينية,عادي,يدوي,999,4000.0,نقدا فقط,للبيع فقط,5,0,0,0,0,0,0,0,0,4,39.0,6000
فولكسفاجن,أبيض عاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,18665.6,إمكانية التقسيط,للبيع فقط,3,0,0,0,1,0,0,1,0,7,22.0,40000
هونداي,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,7.0,90000
اوبل,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,298000.0,نقدا فقط,للبيع فقط,3,1,1,0,0,0,0,0,1,4,25.0,32000
بيجو,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,82.0,إمكانية التقسيط,للبيع أو التبديل,0,1,1,1,0,0,0,0,1,4,5.0,72000
كيا,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,81000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,1,1,1,1,4,9.0,75500
كيا,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,60000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,4,8.0,107000
سوبارو,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,6544.8,نقدا فقط,للبيع فقط,3,0,0,0,0,0,0,0,0,4,41.0,9500
سكودا,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72412.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,0,1,0,1,4,8.0,90000
اوبل,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,40.0,نقدا فقط,للبيع أو التبديل,0,1,1,1,1,0,1,0,0,4,6.0,58000
سكودا,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,46500.0,إمكانية التقسيط,للبيع فقط,5,1,1,1,1,0,1,1,1,4,15.0,60000
فيات,أزرق سماوي,ديزل,خصوصي,نمرة صفراء,عادي,الكتروني,1250,53028.2,نقدا فقط,للبيع فقط,3,0,0,0,1,0,1,0,1,4,20.0,20000
سكودا,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,102600.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,9.0,75000
كيا,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,72412.0,نقدا فقط,للبيع فقط,1,1,1,1,1,1,1,1,1,4,8.0,85000
فورد,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,73000.0,نقدا فقط,للبيع فقط,1,1,1,1,0,0,1,0,1,4,7.0,45000
سكودا,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,42000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,0,0,1,0,1,4,2.0,163500
فولكسفاجن,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,125000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,0,0,1,6,11.0,62500
هونداي,أخضر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,115000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,0,1,4,21.0,32000
فولكسفاجن,أصفر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2500,123850.0,إمكانية التقسيط,للبيع فقط,2,1,1,1,1,1,0,0,1,4,15.0,49000
فورد,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,165.0,نقدا فقط,للبيع فقط,3,1,1,1,1,0,1,0,1,4,14.0,32000
هونداي,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,92000.0,نقدا فقط,للبيع أو التبديل,3,1,1,1,1,0,1,1,1,4,8.0,83000
هونداي,خمري,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1250,80000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,9.0,39000
كيا,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,130000.0,نقدا فقط,للبيع فقط,2,1,1,1,1,1,1,0,1,4,13.0,43500
سكودا,ذهبي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,400.0,نقدا فقط,للبيع فقط,3,1,1,1,1,0,1,0,1,4,18.0,43000
هونداي,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,72412.0,إمكانية التقسيط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,8.0,65000
فولكسفاجن,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,98656.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,7,12.0,90000
هونداي,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1400,75000.0,نقدا فقط,للبيع فقط,1,1,0,0,0,0,0,0,0,4,10.0,58000
فورد,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,92000.0,نقدا فقط,للبيع فقط,2,1,1,0,1,0,1,0,0,4,9.0,42000
سكودا,أزرق,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,90000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,4,8.0,60000
بي,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,200000.0,إمكانية التقسيط,للبيع فقط,5,1,1,1,1,1,1,1,1,4,29.0,25000
ايسوزو,فيراني,ديزل,خصوصي,فلسطينية,عادي,يدوي,3100,150391.6,نقدا فقط,للبيع أو التبديل,2,0,0,0,0,0,0,0,0,4,25.0,49000
فولكسفاجن,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000.0,نقدا فقط,للبيع فقط,1,1,1,1,1,0,1,1,1,6,9.0,98000
هونداي,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,35000.0,نقدا فقط,للبيع أو التبديل,1,1,1,1,1,0,1,1,1,4,5.0,79000
فولكسفاجن,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,4,9.0,89000
اوبل,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,0,1,0,1,6,10.0,70000
اوبل,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1400,77.0,نقدا فقط,للبيع أو التبديل,3,0,0,0,0,0,0,0,0,4,28.0,17000
سيت,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,90200.0,نقدا فقط,للبيع فقط,2,1,1,1,1,0,1,1,1,4,6.0,75000
كيا,بني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,68000.0,نقدا فقط,للبيع أو التبديل,2,1,1,1,1,1,1,1,1,4,9.0,44000
سيت,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,45000.0,نقدا فقط,للبيع فقط,0,1,1,0,0,1,1,1,1,4,5.0,117000
هونداي,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,10110.0,نقدا فقط,للبيع فقط,4,1,1,1,1,0,1,1,1,4,9.0,56000
هونداي,أحمر,بنزين,تأجير,فلسطينية,عادي,الكتروني,1000,147891.0,إمكانية التقسيط,للبيع فقط,3,1,1,1,1,0,0,0,1,4,23.0,24000
